    1162, 0.51
    1163,-0.39
    1164, 0.24
    1165, 0.33
    1166,-0.38
    1167,-0.61
    1168,-0.61
    1169,-0.97
    1170,-0.97
    1171, 0.62
    1172, 0.62
    1173,-1.55
    1174,-0.17
    1175, 1.66
    1176, 1.70
    1177, 1.70
    1178, 0.71
    1179, 0.71
    1180, 0.71
    1181, 0.71
    1182, 1.44
    1183,-0.76
    1184,-0.76
    1185,-0.76
    1186,-0.76
    1187,-0.76
    1188, 1.72
    1189, 2.39
    1190, 0.16
    1191, 0.16
    1192,-0.68
    1193,-0.68
    1194, 0.23
    1195, 0.23
    1196,-0.54
    1197,-0.20
    1198,-0.20
    1199,-1.25
    1200,-1.25
    1201,-1.00
    1202, 1.12
    1203,-0.62
    1204,-0.62
    1205,-0.52
    1206,-0.52
    1207,-0.52
    1208,-0.61
    1209,-1.41
    1210,-1.41
    1211,-0.72
    1212,-0.72
    1213,-0.99
    1214, 0.94
    1215, 0.94
    1216, 0.94
    1217, 0.94
    1218, 0.62
    1219,-0.14
    1220,-0.14
    1221,-0.14
    1222,-0.14
    1223,-0.14
    1224,-0.14
    1225,-0.14
    1226,-0.74
    1227,-0.74
    1228, 0.47
    1229,-0.94
    1230,-1.04
    1231, 0.54
    1232,-0.17
    1233,-0.17
    1234,-0.74
    1235,-0.20
    1236,-0.20
    1237,-0.25
    1238, 0.39
    1239, 0.39
    1240, 0.39
    1241,-1.19
    1242,-1.19
